Solve Method,Duration(ms)
Breadth solved,27196
A* solved,51988
A* solved,40422
A* solved g/4,34328
A* solved g(n)=0,34449
Depth solved,9805
Breadth solved,18382
A* solved g/2,34478
A* solved g(n)=0,25114
A* solved,45034
A* solved g/2,19902
A* solved g/4,19882
Depth solved,39962
Breadth solved,23482
Depth solved,48907
A* solved g/4,30812
A* solved g(n)=0,30867
A* solved g/2,30872
A* solved,55436
Breadth solved,28313
Breadth solved,29523
A* solved g(n)=0,34539
Depth solved,39715
A* solved g/2,34529
A* solved g/4,34500
A* solved,44883
A* solved g/2,42389
A* solved g/4,37175
Depth solved,19414
A* solved,54664
A* solved g(n)=0,37098
Breadth solved,27817
A* solved g(n)=0,45103
A* solved,41109
A* solved g/4,39911
Depth solved,8829
Breadth solved,21151
A* solved g/2,39865
A* solved,50056
A* solved g/2,25417
Breadth solved,22729
Depth solved,18652
A* solved g/4,25359
A* solved g(n)=0,25384
A* solved g(n)=0,15652
A* solved,35333
Breadth solved,19111
Depth solved,20837
A* solved g/2,10462
A* solved g/4,10427
Depth solved,26226
A* solved,42996
A* solved g(n)=0,38547
A* solved g/4,38532
A* solved g/2,38618
Breadth solved,22220
A* solved g(n)=0,30702
Depth solved,7542
A* solved,25135
A* solved g/4,25532
Breadth solved,13222
A* solved g/2,25490
Depth solved,15879
A* solved,34313
Breadth solved,18771
A* solved g/4,17749
A* solved g(n)=0,17762
A* solved g/2,17734
A* solved g/4,35859
A* solved,51702
Breadth solved,26489
Depth solved,35537
A* solved g/2,30658
A* solved g(n)=0,30605
Depth solved,37789
Breadth solved,20430
A* solved,39431
A* solved g(n)=0,36005
A* solved g/2,36003
A* solved g/4,36075
A* solved g(n)=0,52459
A* solved,54478
A* solved g/2,47307
Depth solved,19634
Breadth solved,27780
A* solved g/4,47334
A* solved,42937
Depth solved,28596
A* solved g(n)=0,30967
A* solved g/2,30806
A* solved g/4,30929
Breadth solved,19677
A* solved g(n)=0,29427
Depth solved,23063
A* solved g/2,24317
A* solved,49013
Breadth solved,25260
A* solved g/4,24320
Depth solved,55559
A* solved,27583
A* solved g/4,51430
A* solved g(n)=0,16194
A* solved g/2,51281
Breadth solved,16738
Depth solved,13284
A* solved g/4,50696
A* solved g(n)=0,50825
A* solved,37651
A* solved g/2,50781
Breadth solved,21053
Depth solved,53025
Breadth solved,16269
A* solved g/4,38247
A* solved g/2,38720
A* solved,26811
A* solved g(n)=0,38287
Depth solved,34038
A* solved g/2,36370
A* solved g(n)=0,36415
A* solved g/4,36302
Breadth solved,18684
A* solved,32729
Depth solved,36617
A* solved g/2,38067
Breadth solved,21687
A* solved,41112
A* solved g/4,38023
A* solved g(n)=0,37536
A* solved g/2,25468
Breadth solved,14440
A* solved g/4,19785
A* solved,21136
A* solved g(n)=0,6784
Depth solved,17516
Depth solved,48620
A* solved,45324
A* solved g/2,42431
A* solved g(n)=0,42357
A* solved g/4,41894
Breadth solved,25006
A* solved g/4,16357
A* solved g/2,11244
A* solved,29874
A* solved g(n)=0,11343
Depth solved,29562
Breadth solved,15881
Depth solved,20366
A* solved g/2,29836
A* solved g(n)=0,29981
A* solved,40377
A* solved g/4,30151
Breadth solved,21358
A* solved g/4,14974
A* solved,24393
A* solved g/2,9757
Breadth solved,14913
A* solved g(n)=0,9817
Depth solved,24120
A* solved g/2,16510
Breadth solved,22935
Depth solved,46248
A* solved,42902
A* solved g(n)=0,11266
A* solved g/4,11423
Depth solved,44577
A* solved g/2,48500
A* solved g/4,48599
Breadth solved,25534
A* solved g(n)=0,48678
A* solved,43731
A* solved g/4,39356
A* solved g(n)=0,34749
A* solved,43177
Breadth solved,22770
A* solved g/2,34828
Depth solved,32232
A* solved g/2,41886
A* solved g(n)=0,36768
A* solved,48305
Depth solved,32898
A* solved g/4,36754
Breadth solved,25491
A* solved g/4,32882
A* solved,34159
Depth solved,19999
A* solved g(n)=0,27683
A* solved g/2,27361
Breadth solved,17192
A* solved,50236
A* solved g/2,36290
Depth solved,25024
A* solved g(n)=0,36136
Breadth solved,25718
A* solved g/4,36011
Breadth solved,32723
A* solved g/2,24341
A* solved,54410
A* solved g/4,24443
A* solved g(n)=0,24239
Depth solved,42607
A* solved g/4,44303
Depth solved,29359
A* solved,39374
A* solved g/2,38865
Breadth solved,22684
A* solved g(n)=0,39391
A* solved g/2,33060
A* solved,29214
Breadth solved,14774
A* solved g(n)=0,28046
A* solved g/4,28063
Depth solved,36021
A* solved,55528
Depth solved,24869
Breadth solved,25648
A* solved g/4,37532
A* solved g/2,37273
A* solved g(n)=0,37445
Breadth solved,29659
A* solved,47481
A* solved g/4,46498
A* solved g/2,46112
A* solved g(n)=0,46518
Depth solved,18721
A* solved,31273
Depth solved,9364
A* solved g/2,15091
A* solved g(n)=0,14858
A* solved g/4,14963
Breadth solved,15124
Depth solved,33897
Breadth solved,13310
A* solved,17460
A* solved g/2,13291
A* solved g(n)=0,13715
A* solved g/4,13835
Depth solved,29686
A* solved g/4,23288
Breadth solved,19475
A* solved g(n)=0,23494
A* solved g/2,23603
A* solved,37998
A* solved g(n)=0,17531
A* solved g/2,12503
A* solved,24885
Depth solved,16051
Breadth solved,14495
A* solved g/4,12563
A* solved g(n)=0,31742
A* solved,44492
Depth solved,28128
A* solved g/4,26086
Breadth solved,23321
A* solved g/2,26436
A* solved,50645
A* solved g/4,28771
Depth solved,37074
A* solved g(n)=0,28583
A* solved g/2,28599
Breadth solved,24579
A* solved,39509
Depth solved,44332
A* solved g/4,22253
A* solved g/2,22380
Breadth solved,17422
A* solved g(n)=0,22368
Breadth solved,24674
A* solved g(n)=0,30035
A* solved g/4,30212
A* solved g/2,30336
A* solved,35956
Depth solved,26007
A* solved g/2,56369
A* solved g(n)=0,50845
A* solved g/4,50897
Breadth solved,26179
A* solved,51269
Depth solved,26019
Depth solved,28669
A* solved,38267
A* solved g(n)=0,30494
Breadth solved,19503
A* solved g/2,30346
A* solved g/4,30608
A* solved g/2,25397
A* solved,45353
Breadth solved,24511
A* solved g/4,20129
Depth solved,40415
A* solved g(n)=0,19947
A* solved,30521
A* solved g/4,21439
Breadth solved,13119
A* solved g(n)=0,21355
A* solved g/2,21457
Depth solved,42471
Depth solved,41814
A* solved g(n)=0,32648
A* solved,34872
Breadth solved,17704
A* solved g/4,32976
A* solved g/2,32961
Breadth solved,23100
Depth solved,30465
A* solved g/4,11871
A* solved g(n)=0,12603
A* solved g/2,12489
A* solved,32775
Breadth solved,33114
Depth solved,25936
A* solved g/2,19102
A* solved g(n)=0,19105
A* solved g/4,19237
A* solved,53105
A* solved g/4,44721
A* solved g(n)=0,39300
Breadth solved,23229
Depth solved,46579
A* solved g/2,39178
A* solved,38437
Depth solved,26885
A* solved g(n)=0,17887
A* solved g/4,18061
Breadth solved,20786
A* solved,40428
A* solved g/2,18028
A* solved g(n)=0,30156
Depth solved,27781
Breadth solved,18558
A* solved g/4,24877
A* solved g/2,24721
A* solved,37850
A* solved g/2,26895
A* solved,25216
A* solved g(n)=0,21817
Breadth solved,12693
Depth solved,46223
A* solved g/4,21839
Breadth solved,27650
A* solved,42048
A* solved g(n)=0,50365
A* solved g/4,50971
A* solved g/2,50237
Depth solved,14393
Depth solved,47311
A* solved g(n)=0,20159
A* solved g/2,20183
A* solved,45140
Breadth solved,24585
A* solved g/4,19650
A* solved,47548
A* solved g/4,17445
A* solved g(n)=0,17481
Depth solved,12274
Breadth solved,22171
A* solved g/2,17584
Depth solved,29712
A* solved g/4,36491
A* solved g/2,36581
A* solved,36259
Breadth solved,19312
A* solved g(n)=0,36590
Depth solved,18340
A* solved,32363
A* solved g/2,19687
Breadth solved,17824
A* solved g(n)=0,19658
A* solved g/4,19669
A* solved g/4,40557
A* solved g/2,34950
Breadth solved,20854
Depth solved,28610
A* solved,40254
A* solved g(n)=0,35063
A* solved g/4,29331
Breadth solved,27866
A* solved,53986
Depth solved,11119
A* solved g(n)=0,23670
A* solved g/2,24221
A* solved g/2,14853
A* solved g/4,9587
Depth solved,12650
A* solved,23783
Breadth solved,13689
A* solved g(n)=0,34565
Breadth solved,19075
A* solved,26796
A* solved g/2,26224
A* solved g/4,26130
A* solved g(n)=0,26073
Depth solved,9496
A* solved g/2,24095
A* solved g(n)=0,18699
A* solved,29367
Depth solved,14060
A* solved g/4,18766
Breadth solved,15911
Depth solved,15550
A* solved g(n)=0,17840
A* solved,53166
A* solved g/4,17769
A* solved g/2,17686
Breadth solved,27406
Depth solved,36839
Breadth solved,21340
A* solved g/2,11258
A* solved g/4,11418
A* solved,39335
A* solved g(n)=0,11473
A* solved g/4,45273
A* solved g/2,39339
A* solved,50899
Breadth solved,26858
A* solved g(n)=0,39866
Depth solved,25345
A* solved g/2,37211
A* solved,40157
A* solved g(n)=0,31924
A* solved g/4,32321
Depth solved,37755
Breadth solved,20546
A* solved g(n)=0,26817
Depth solved,31361
A* solved g/2,21246
Breadth solved,19824
A* solved g/4,21596
A* solved,36672
A* solved g(n)=0,22330
A* solved,21140
Breadth solved,11139
Depth solved,11267
A* solved g/2,16966
A* solved g/4,17069
Breadth solved,27959
A* solved g/2,15183
A* solved,43560
Depth solved,40511
A* solved g/4,15263
A* solved g(n)=0,15150
A* solved,42274
Breadth solved,19573
Depth solved,36115
A* solved g(n)=0,14883
A* solved g/4,14968
A* solved g/2,14934
A* solved,60370
Breadth solved,27997
A* solved g(n)=0,54965
A* solved g/4,55027
Depth solved,22334
A* solved g/2,52250
A* solved g/4,30958
A* solved,41820
A* solved g(n)=0,24287
Depth solved,38607
A* solved g/2,25787
Breadth solved,26721
A* solved g(n)=0,40394
A* solved,46766
Breadth solved,24940
Depth solved,20523
A* solved g/2,34310
A* solved g/4,34573
A* solved g/4,37560
A* solved,47285
Breadth solved,25163
A* solved g/2,32282
Depth solved,22379
A* solved g(n)=0,32352
A* solved g(n)=0,18956
A* solved g/4,13495
Depth solved,14757
A* solved,27253
Breadth solved,15427
A* solved g/2,13902
A* solved g/2,37529
Depth solved,31589
A* solved g/4,32533
A* solved,45655
Breadth solved,24323
A* solved g(n)=0,32143
Breadth solved,32224
A* solved g/4,52963
A* solved g(n)=0,52665
Depth solved,29685
A* solved g/2,52608
A* solved,53368
A* solved g/2,16914
A* solved g(n)=0,11711
A* solved g/4,11849
Breadth solved,13678
Depth solved,15918
A* solved,25383
A* solved g/2,16774
A* solved,25568
A* solved g/4,11611
Depth solved,15282
Breadth solved,15610
A* solved g(n)=0,11667
A* solved g/4,30706
A* solved g/2,25437
Depth solved,42410
A* solved g(n)=0,25412
Breadth solved,15190
A* solved,24744
A* solved,48189
Depth solved,18416
A* solved g/4,39531
A* solved g(n)=0,39945
Breadth solved,22231
A* solved g/2,39648
Breadth solved,27181
A* solved,42729
Depth solved,22334
A* solved g/2,12604
A* solved g(n)=0,12702
A* solved g/4,12938
A* solved g/2,35098
Breadth solved,26117
A* solved,51912
A* solved g(n)=0,29758
Depth solved,32747
A* solved g/4,29924
A* solved g/4,44536
A* solved g/2,38659
A* solved g(n)=0,38994
Depth solved,22490
Breadth solved,24507
A* solved,44515
A* solved g/2,22773
Depth solved,44612
A* solved g/4,17402
A* solved,52476
A* solved g(n)=0,17339
Breadth solved,26527
A* solved,19618
Depth solved,11865
A* solved g(n)=0,8728
A* solved g/2,9416
A* solved g/4,8847
Breadth solved,8575
A* solved,38081
Depth solved,43411
A* solved g(n)=0,23535
A* solved g/2,23820
Breadth solved,16548
A* solved g/4,23920
Breadth solved,29725
A* solved,44298
A* solved g/2,18850
A* solved g(n)=0,18785
A* solved g/4,18987
Depth solved,7318
Breadth solved,25313
A* solved,35074
A* solved g(n)=0,15917
A* solved g/4,15719
A* solved g/2,15770
Depth solved,8383
A* solved g/2,28237
A* solved g(n)=0,22759
Breadth solved,22567
A* solved g/4,23139
Depth solved,29969
A* solved,40004
A* solved g/2,18071
A* solved g/4,12765
A* solved g(n)=0,12798
Depth solved,36364
A* solved,18045
Breadth solved,11185
A* solved g/2,19887
A* solved,46675
Depth solved,40950
A* solved g(n)=0,14650
Breadth solved,25943
A* solved g/4,14947
A* solved g(n)=0,24360
A* solved g/2,19506
Depth solved,21292
A* solved,33639
A* solved g/4,19530
Breadth solved,17375
A* solved g/2,53832
Breadth solved,25101
A* solved,50050
A* solved g/4,48628
Depth solved,17380
A* solved g(n)=0,48842
A* solved g/4,25561
Depth solved,38521
A* solved g/2,20298
A* solved,33704
A* solved g(n)=0,20163
Breadth solved,17500
Depth solved,47615
A* solved g/4,18245
A* solved g/2,18283
Breadth solved,13339
A* solved g(n)=0,18353
A* solved,23908
Breadth solved,28595
A* solved,45669
A* solved g(n)=0,42655
Depth solved,38792
A* solved g/2,42337
A* solved g/4,42494
Breadth solved,33180
Depth solved,38102
A* solved g(n)=0,37955
A* solved g/2,38119
A* solved,55107
A* solved g/4,38065
A* solved,59094
Breadth solved,27614
A* solved g/4,43445
A* solved g/2,43481
A* solved g(n)=0,43569
Depth solved,29899
A* solved,37892
A* solved g(n)=0,31379
Breadth solved,17082
A* solved g/2,31693
Depth solved,22056
A* solved g/4,31568
A* solved,48340
A* solved g(n)=0,19665
A* solved g/4,19586
Breadth solved,22617
A* solved g/2,19775
Depth solved,30909
A* solved g(n)=0,30315
A* solved,38830
A* solved g/2,24686
Depth solved,34071
A* solved g/4,25026
Breadth solved,19799
A* solved g/2,48015
Breadth solved,25644
A* solved,47901
A* solved g/4,42760
A* solved g(n)=0,42958
Depth solved,44243
A* solved g/4,29889
A* solved g/2,24540
Breadth solved,18247
A* solved,35594
A* solved g(n)=0,24199
Depth solved,33804
A* solved g(n)=0,20304
Breadth solved,23496
A* solved,43337
A* solved g/2,15005
A* solved g/4,14910
Depth solved,42349
Depth solved,16978
Breadth solved,12681
A* solved g/4,16706
A* solved g(n)=0,16508
A* solved g/2,16537
A* solved,21526
A* solved g(n)=0,39971
Breadth solved,26094
A* solved g/4,34962
A* solved g/2,34564
Depth solved,37489
A* solved,50953
A* solved g/2,42523
A* solved g/4,36681
A* solved g(n)=0,37076
Depth solved,42876
A* solved,53860
Breadth solved,27139
A* solved,42687
A* solved g/4,30519
A* solved g(n)=0,30332
Breadth solved,20064
A* solved g/2,30269
Depth solved,27881
A* solved g/4,27972
A* solved g(n)=0,22894
Breadth solved,25790
A* solved g/2,22843
A* solved,50503
Depth solved,15696
Depth solved,19979
A* solved g/2,42206
A* solved g(n)=0,41649
Breadth solved,25743
A* solved,49469
A* solved g/4,42075
A* solved g/4,38073
A* solved g/2,32675
A* solved,45782
A* solved g(n)=0,32040
Breadth solved,23283
Depth solved,27110
A* solved g/4,55889
Depth solved,25159
A* solved g/2,50374
A* solved,50634
Breadth solved,25591
A* solved g(n)=0,50282
A* solved g(n)=0,18919
Breadth solved,10047
Depth solved,8268
A* solved,17834
A* solved g/4,13632
A* solved g/2,13647
A* solved g/4,49415
Breadth solved,21055
Depth solved,17147
A* solved,35039
A* solved g(n)=0,44214
A* solved g/2,44082
Depth solved,30107
A* solved g(n)=0,49006
A* solved,53892
A* solved g/2,49554
Breadth solved,27116
A* solved g/4,49597
A* solved,55211
Breadth solved,25736
A* solved g/2,44502
A* solved g/4,45071
Depth solved,27590
A* solved g(n)=0,45043
A* solved g/2,54384
A* solved g(n)=0,49152
A* solved,45545
Breadth solved,24698
A* solved g/4,49392
Depth solved,16607
Breadth solved,28184
A* solved g/4,23023
A* solved g/2,23103
A* solved g(n)=0,23037
A* solved,41826
Depth solved,23034
A* solved g/2,32480
A* solved,44438
Breadth solved,23948
Depth solved,41002
A* solved g(n)=0,26845
A* solved g/4,26729
A* solved g(n)=0,30613
A* solved g/2,25500
A* solved,37429
Breadth solved,19969
A* solved g/4,25697
Depth solved,31762
A* solved,44597
A* solved g/2,28505
A* solved g(n)=0,28657
Depth solved,30765
A* solved g/4,28565
Breadth solved,21743
A* solved,33933
A* solved g/2,13048
A* solved g(n)=0,12809
A* solved g/4,12772
Breadth solved,14703
Depth solved,16728
A* solved g/4,27530
A* solved g(n)=0,21530
Depth solved,27500
Breadth solved,13422
A* solved,24830
A* solved g/2,22225
Breadth solved,21094
A* solved,30349
Depth solved,39025
A* solved g/2,17810
A* solved g/4,18027
A* solved g(n)=0,17748
Breadth solved,29409
A* solved,47303
A* solved g/2,40435
A* solved g(n)=0,40562
A* solved g/4,40468
Depth solved,19162
A* solved g(n)=0,39511
A* solved,38591
A* solved g/2,34419
Depth solved,46959
Breadth solved,23836
A* solved g/4,34427
Depth solved,28281
Breadth solved,18691
A* solved g(n)=0,29830
A* solved g/4,29699
A* solved g/2,29616
A* solved,36420
Depth solved,32908
Breadth solved,24174
A* solved,46965
A* solved g(n)=0,39249
A* solved g/2,39740
A* solved g/4,39725
A* solved,44264
Depth solved,19848
A* solved g(n)=0,10917
Breadth solved,21130
A* solved g/4,10825
A* solved g/2,10998
A* solved,56472
Depth solved,21081
A* solved g/4,42324
A* solved g/2,42020
A* solved g(n)=0,42260
Breadth solved,27280
Breadth solved,22197
A* solved g(n)=0,13365
Depth solved,30945
A* solved g/2,13440
A* solved g/4,13336
A* solved,29700
A* solved g/4,23359
A* solved,49711
Breadth solved,25628
A* solved g(n)=0,18074
A* solved g/2,18111
Depth solved,42731
A* solved,52579
Breadth solved,25264
A* solved g(n)=0,13904
A* solved g/2,13979
Depth solved,36405
A* solved g/4,14085
Depth solved,26564
Breadth solved,24010
A* solved g(n)=0,42470
A* solved,47495
A* solved g/2,42452
A* solved g/4,42655
Breadth solved,17000
A* solved g/2,14119
A* solved g(n)=0,11467
A* solved g/4,14170
Depth solved,36589
A* solved,22397
Depth solved,22403
A* solved g/2,41797
Breadth solved,25025
A* solved,47936
A* solved g(n)=0,41657
A* solved g/4,41555
A* solved g(n)=0,55824
A* solved g/2,50756
Breadth solved,26370
Depth solved,32216
A* solved g/4,50576
A* solved,50345
Depth solved,21544
A* solved g/4,31800
A* solved g/2,31778
A* solved,37284
A* solved g(n)=0,31608
Breadth solved,18785
Depth solved,35012
A* solved,49161
A* solved g/2,36393
A* solved g(n)=0,36460
A* solved g/4,36407
Breadth solved,26820
A* solved g/4,27660
Depth solved,34284
Breadth solved,21486
A* solved,38443
A* solved g(n)=0,22241
A* solved g/2,22465
A* solved g/4,27523
A* solved,40202
Breadth solved,20612
A* solved g/2,22599
Depth solved,22255
A* solved g(n)=0,22542
Breadth solved,26605
A* solved g(n)=0,24603
A* solved,39622
A* solved g/2,24402
Depth solved,45087
A* solved g/4,24583
A* solved g/4,26639
A* solved,41770
Depth solved,10951
Breadth solved,23868
A* solved g/2,21490
A* solved g(n)=0,21225
A* solved,38373
A* solved g(n)=0,13146
Depth solved,23369
A* solved g/4,13247
Breadth solved,17020
A* solved g/2,13005
Breadth solved,19278
Depth solved,17870
A* solved g/2,26563
A* solved,27319
A* solved g/4,26278
A* solved g(n)=0,26546
Depth solved,31344
A* solved g/4,44628
A* solved,50740
A* solved g/2,44824
Breadth solved,25757
A* solved g(n)=0,43912
A* solved,29170
A* solved g(n)=0,19587
A* solved g/4,20012
A* solved g/2,19939
Depth solved,40254
Breadth solved,14845
A* solved g/2,22820
Breadth solved,24562
A* solved g/4,17454
A* solved,47708
A* solved g(n)=0,17620
Depth solved,7477
Depth solved,53552
Breadth solved,17535
A* solved g(n)=0,23652
A* solved g/4,23736
A* solved,33574
A* solved g/2,23536
A* solved g/4,44362
Depth solved,31993
A* solved,51261
A* solved g/2,39497
Breadth solved,26269
A* solved g(n)=0,39602
A* solved g/2,44954
Breadth solved,23898
A* solved g/4,39953
Depth solved,29674
A* solved g(n)=0,39724
A* solved,46739
Depth solved,31748
A* solved g/2,34837
Breadth solved,23542
A* solved,45103
A* solved g/4,34562
A* solved g(n)=0,34281
Depth solved,16133
A* solved,27982
Breadth solved,15728
A* solved g(n)=0,48555
A* solved g/4,48937
A* solved g/2,48867
Depth solved,38892
A* solved g(n)=0,34447
Breadth solved,20684
A* solved g/2,34431
A* solved g/4,34658
A* solved,40221
Breadth solved,30597
A* solved g(n)=0,37017
A* solved g/4,36758
A* solved g/2,36464
Depth solved,24186
A* solved,47385
Breadth solved,18942
A* solved g(n)=0,26444
A* solved g/2,26452
A* solved,27243
A* solved g/4,26719
Depth solved,12157
A* solved g/2,31866
A* solved g/4,26622
Depth solved,27602
A* solved g(n)=0,26615
A* solved,43569
Breadth solved,24287
A* solved g/4,21350
A* solved g/2,16251
A* solved,46307
Breadth solved,24654
A* solved g(n)=0,16207
Depth solved,39665
Depth solved,41943
Breadth solved,25466
A* solved g(n)=0,45661
A* solved g/4,46231
A* solved g/2,46279
A* solved,48536
Depth solved,28322
A* solved g/2,33580
A* solved,48943
Breadth solved,26711
A* solved g(n)=0,33704
A* solved g/4,33599
Depth solved,34040
A* solved g(n)=0,37470
A* solved g/2,37509
Breadth solved,19675
A* solved,38913
A* solved g/4,37476
Depth solved,51379
A* solved g/2,15005
A* solved g(n)=0,14912
A* solved g/4,14854
A* solved,42262
Breadth solved,22615
A* solved g/2,47832
A* solved g/4,42559
A* solved,44561
Depth solved,36264
A* solved g(n)=0,42940
Breadth solved,23311
A* solved g(n)=0,42408
Depth solved,30538
A* solved g/4,37565
A* solved g/2,37324
Breadth solved,19813
A* solved,36740
Depth solved,31734
A* solved g/4,29779
Breadth solved,24543
A* solved,46366
A* solved g(n)=0,29681
A* solved g/2,29740
A* solved g/4,29802
A* solved,47516
Breadth solved,25471
A* solved g(n)=0,24582
Depth solved,30249
A* solved g/2,24693
A* solved g/2,24017
Breadth solved,24964
A* solved g(n)=0,18737
Depth solved,31875
A* solved g/4,18741
A* solved,47434
A* solved g/2,29606
A* solved g(n)=0,24293
Breadth solved,23677
A* solved,45953
A* solved g/4,24502
Depth solved,15098
A* solved g/4,34781
A* solved,41250
A* solved g/2,29772
Depth solved,40232
A* solved g(n)=0,29636
Breadth solved,22838
Breadth solved,26127
A* solved g/4,31726
A* solved,39274
A* solved g/2,31770
A* solved g(n)=0,31591
Depth solved,36034
A* solved g(n)=0,42375
A* solved g/2,37289
A* solved g/4,37181
Depth solved,22227
Breadth solved,23881
A* solved,46088
A* solved g/2,43440
Breadth solved,19471
A* solved,38541
A* solved g(n)=0,21324
Depth solved,40935
A* solved g/4,38304
Breadth solved,21106
Depth solved,12917
A* solved,25245
A* solved g/2,15484
A* solved g/4,15400
A* solved g(n)=0,15278
A* solved g/2,33503
A* solved,29820
Depth solved,15549
Breadth solved,15927
A* solved g/4,28236
A* solved g(n)=0,27943
Breadth solved,19093
A* solved,26617
A* solved g/4,20067
A* solved g/2,20168
A* solved g(n)=0,19921
Depth solved,12899
A* solved g/2,25283
A* solved g/4,20158
A* solved,48277
A* solved g(n)=0,20224
Breadth solved,24800
Depth solved,47112
A* solved g/4,46150
A* solved,40928
Breadth solved,20655
A* solved g/2,40802
A* solved g(n)=0,33110
Depth solved,24883
A* solved g/2,27734
Breadth solved,14726
A* solved g/4,22317
Depth solved,47369
A* solved,28717
A* solved g(n)=0,22338
Breadth solved,27365
Depth solved,24934
A* solved,40774
A* solved g/2,32836
A* solved g/4,32497
A* solved g(n)=0,32676
A* solved g/4,27925
A* solved g(n)=0,22728
A* solved g/2,22494
A* solved,31057
Breadth solved,16179
Depth solved,39385
Breadth solved,28837
A* solved g/4,18570
A* solved,45806
Depth solved,23226
A* solved g(n)=0,18424
A* solved g/2,18588
Breadth solved,20819
A* solved,27997
A* solved g(n)=0,9940
A* solved g/4,10000
A* solved g/2,10007
Depth solved,6782
A* solved g(n)=0,43113
Depth solved,34956
Breadth solved,18916
A* solved g/4,12756
A* solved g/2,12634
A* solved,35684
A* solved g/4,21358
A* solved g/2,16152
A* solved,37315
Breadth solved,19534
A* solved g(n)=0,15747
Depth solved,36400
Breadth solved,25458
A* solved g(n)=0,26243
A* solved g/4,26086
Depth solved,47366
A* solved g/2,26313
A* solved,36149
A* solved g/2,32817
Breadth solved,19362
A* solved g/4,27244
Depth solved,10517
A* solved,38952
A* solved g(n)=0,27574
Breadth solved,28099
A* solved,44600
Depth solved,30804
A* solved g/4,36533
A* solved g(n)=0,36417
A* solved g/2,36375
A* solved g/4,48022
A* solved g(n)=0,42772
A* solved g/2,42864
A* solved,45126
Depth solved,15721
Breadth solved,22994
Depth solved,19820
A* solved g/2,16800
A* solved,33380
Breadth solved,18273
A* solved g(n)=0,16672
A* solved g/4,16629
Depth solved,22396
Breadth solved,16044
A* solved g/4,41247
A* solved g/2,41329
A* solved g(n)=0,41411
A* solved,24483
Breadth solved,24492
A* solved g(n)=0,20023
A* solved g/4,20077
Depth solved,28891
A* solved,33997
A* solved g/2,19582
Depth solved,14323
Breadth solved,15339
A* solved,25960
A* solved g(n)=0,21396
A* solved g/2,21333
A* solved g/4,21264
A* solved,49401
Depth solved,14283
A* solved g(n)=0,35023
A* solved g/4,35300
Breadth solved,22542
A* solved g/2,35580
A* solved g(n)=0,44799
A* solved g/4,39356
Depth solved,29799
Breadth solved,23000
A* solved g/2,39812
A* solved,43516
Depth solved,41175
Breadth solved,27612
A* solved,53622
A* solved g(n)=0,32520
A* solved g/4,32418
A* solved g/2,32544
Depth solved,31026
A* solved,53128
Breadth solved,26966
A* solved g/4,48871
A* solved g/2,48761
A* solved g(n)=0,49160
Depth solved,14779
A* solved g(n)=0,48043
A* solved g/2,48166
Breadth solved,25450
A* solved,48174
A* solved g/4,48276
A* solved g/4,56670
A* solved,48188
Breadth solved,27361
Depth solved,17040
A* solved g(n)=0,51251
A* solved g/2,51541
A* solved g/4,18924
A* solved g/2,13579
A* solved g(n)=0,13732
Breadth solved,16462
Depth solved,14505
A* solved,31825
Depth solved,46837
A* solved,30452
A* solved g(n)=0,20586
A* solved g/4,20664
A* solved g/2,20841
Breadth solved,16430
A* solved,37015
Depth solved,27963
A* solved g(n)=0,18078
Breadth solved,17524
A* solved g/4,17934
A* solved g/2,18018
Breadth solved,22586
A* solved,30733
A* solved g(n)=0,19938
Depth solved,46211
A* solved g/2,19420
A* solved g/4,19980
Breadth solved,33334
A* solved g/4,26506
A* solved g/2,26389
A* solved g(n)=0,26368
A* solved,54869
Depth solved,14891
A* solved g(n)=0,23641
A* solved g/2,18273
A* solved g/4,18487
Breadth solved,27535
A* solved,50818
Depth solved,23611
A* solved g/4,47399
A* solved,49629
Depth solved,27602
Breadth solved,25457
A* solved g/2,41807
A* solved g(n)=0,41928
A* solved g/2,13833
Breadth solved,15999
Depth solved,12371
A* solved g/4,8561
A* solved,28515
A* solved g(n)=0,8580
A* solved g(n)=0,49691
Breadth solved,22829
Depth solved,8556
A* solved g/4,44740
A* solved,41554
A* solved g/2,44652
A* solved,57296
Depth solved,24070
A* solved g(n)=0,33165
A* solved g/4,33109
A* solved g/2,33371
Breadth solved,27158
Breadth solved,23463
A* solved g(n)=0,27246
Depth solved,21485
A* solved,35208
A* solved g/4,27033
A* solved g/2,27394
A* solved g(n)=0,27923
A* solved g/4,23023
Breadth solved,27213
A* solved,51394
A* solved g/2,23146
Depth solved,10840
A* solved g(n)=0,29861
Breadth solved,18764
Depth solved,12158
A* solved g/4,24518
A* solved,34229
A* solved g/2,24765
A* solved g/2,43394
A* solved,38941
A* solved g/4,38268
Breadth solved,19713
Depth solved,20505
A* solved g(n)=0,38188
Breadth solved,26166
A* solved g(n)=0,30682
A* solved g/4,30785
A* solved,40639
A* solved g/2,36655
Depth solved,41660
A* solved g/4,51699
A* solved,48408
Breadth solved,25167
A* solved g(n)=0,46346
Depth solved,13211
A* solved g/2,45853
A* solved,49545
Breadth solved,22361
Depth solved,31673
A* solved g/4,30269
A* solved g/2,30247
A* solved g(n)=0,29907
A* solved g(n)=0,40467
A* solved g/4,35627
A* solved g/2,35625
A* solved,51336
Breadth solved,25853
Depth solved,29900
Breadth solved,29152
A* solved g(n)=0,20559
A* solved,40965
Depth solved,16750
