Solve Method,Duration(ms)
Depth solved,29958
A* solved,54580
Breadth solved,27602
A* solved g/2,30003
A* solved g/4,30021
A* solved g(n)=0,30016
A* solved g(n)=0,25402
A* solved g/2,20066
Depth solved,44169
Breadth solved,18428
A* solved g/4,20146
A* solved,31029
A* solved g/4,17524
Breadth solved,10079
A* solved g(n)=0,12313
Depth solved,17606
A* solved g/2,12323
A* solved,18229
Depth solved,26565
A* solved g/2,31707
A* solved g(n)=0,31720
A* solved,28459
Breadth solved,15474
A* solved g/4,31697
A* solved g/2,30107
A* solved g/4,24908
A* solved,47575
Breadth solved,25601
A* solved g(n)=0,24950
Depth solved,15644
Breadth solved,25091
A* solved,37157
Depth solved,42849
A* solved g/4,34527
A* solved g(n)=0,34502
A* solved g/2,34495
A* solved,51362
A* solved g(n)=0,29308
Breadth solved,23872
A* solved g/4,29360
Depth solved,24698
A* solved g/2,29318
A* solved,55166
A* solved g/2,45628
A* solved g(n)=0,45516
A* solved g/4,45628
Breadth solved,25486
Depth solved,19489
Depth solved,35919
A* solved g/4,16304
A* solved g(n)=0,16296
A* solved g/2,16325
A* solved,37339
Breadth solved,20321
A* solved g(n)=0,33534
Depth solved,25232
A* solved g/4,28350
A* solved g/2,28332
Breadth solved,26043
A* solved,51124
A* solved g/4,22702
A* solved g(n)=0,17556
A* solved g/2,17524
A* solved,48951
Breadth solved,27133
Depth solved,25086
A* solved g(n)=0,32945
Depth solved,19486
A* solved,52557
Breadth solved,27126
A* solved g/2,27762
A* solved g/4,27748
A* solved g/4,46226
A* solved g(n)=0,41049
Depth solved,28448
Breadth solved,23666
A* solved,45052
A* solved g/2,41042
Depth solved,47382
A* solved g/4,34574
A* solved,44312
A* solved g(n)=0,34560
Breadth solved,22938
A* solved g/2,34486
A* solved g(n)=0,42944
Depth solved,37040
A* solved g/4,37649
A* solved g/2,37774
Breadth solved,24014
A* solved,45104
A* solved g/2,38078
A* solved,44572
A* solved g(n)=0,32888
Depth solved,19657
A* solved g/4,32870
Breadth solved,22920
Breadth solved,27983
A* solved g/2,22063
A* solved g/4,22111
A* solved g(n)=0,22110
Depth solved,22475
A* solved,42036
A* solved g/4,48461
A* solved g(n)=0,43275
Depth solved,46254
A* solved g/2,43258
Breadth solved,25316
A* solved,49655
Depth solved,45835
A* solved g/4,16290
A* solved g/2,16279
Breadth solved,24824
A* solved g(n)=0,16307
A* solved,46113
A* solved g/4,52666
Breadth solved,22609
A* solved,40053
A* solved g/2,47524
Depth solved,11986
A* solved g(n)=0,47520
A* solved g/4,43772
A* solved g/2,38485
Depth solved,21143
Breadth solved,27534
A* solved,52923
A* solved g(n)=0,38568
A* solved g(n)=0,32720
Depth solved,38365
A* solved,50923
A* solved g/4,27531
Breadth solved,26362
A* solved g/2,27534
A* solved,57917
A* solved g/2,49925
Breadth solved,26856
A* solved g/4,50062
Depth solved,26890
A* solved g(n)=0,49898
Depth solved,55776
A* solved g/4,26739
A* solved g/2,26730
A* solved g(n)=0,26751
Breadth solved,18195
A* solved,31713
A* solved g/2,34564
A* solved,33448
Breadth solved,18048
A* solved g(n)=0,29003
Depth solved,29023
A* solved g/4,29382
A* solved,34647
Breadth solved,16657
Depth solved,9713
A* solved g/2,9516
A* solved g/4,9529
A* solved g(n)=0,9536
Breadth solved,30734
A* solved g(n)=0,33435
Depth solved,30435
A* solved g/2,33428
A* solved,48049
A* solved g/4,33455
A* solved g/4,55670
A* solved g(n)=0,50486
A* solved g/2,50512
Breadth solved,27116
A* solved,52574
Depth solved,30200
A* solved g/4,37887
Depth solved,30993
A* solved g/2,32710
A* solved,34202
A* solved g(n)=0,32666
Breadth solved,17797
Breadth solved,20051
A* solved g/2,28443
A* solved,25854
A* solved g(n)=0,28335
A* solved g/4,28415
Depth solved,32317
A* solved g/2,30827
Depth solved,44651
A* solved g(n)=0,25628
Breadth solved,18368
A* solved,36152
A* solved g/4,25627
A* solved g(n)=0,33947
Depth solved,27499
Breadth solved,18403
A* solved g/2,28709
A* solved g/4,28712
A* solved,33957
Depth solved,33156
Breadth solved,18340
A* solved g(n)=0,30522
A* solved g/2,30532
A* solved,34183
A* solved g/4,30453
A* solved g/4,27409
A* solved g/2,22220
A* solved g(n)=0,22224
A* solved,48028
Breadth solved,24596
Depth solved,27357
A* solved g/4,37209
A* solved g/2,31989
A* solved g(n)=0,32019
A* solved,42950
Breadth solved,21710
Depth solved,25631
A* solved g(n)=0,36406
A* solved,37186
A* solved g/4,31084
A* solved g/2,31260
Depth solved,37288
Breadth solved,20335
A* solved g/4,23099
A* solved g(n)=0,17899
A* solved,36772
Depth solved,34662
Breadth solved,20488
A* solved g/2,17968
A* solved g/4,52475
A* solved g/2,47338
A* solved,49735
Breadth solved,25225
A* solved g(n)=0,47350
Depth solved,24479
Depth solved,53991
A* solved g/4,11381
A* solved,17721
A* solved g/2,11372
A* solved g(n)=0,11355
Breadth solved,9372
Breadth solved,31044
A* solved g/4,42990
A* solved,47707
A* solved g/2,42965
Depth solved,29645
A* solved g(n)=0,42938
A* solved,36705
Breadth solved,17639
A* solved g/2,13068
A* solved g/4,13043
Depth solved,29490
A* solved g(n)=0,13039
A* solved g/2,30197
A* solved g(n)=0,24988
A* solved g/4,25000
Breadth solved,16479
A* solved,29499
Depth solved,37444
A* solved g(n)=0,30335
Depth solved,23117
A* solved g/2,25174
A* solved g/4,25293
Breadth solved,15848
A* solved,31332
A* solved,55809
Depth solved,10460
A* solved g/2,24891
A* solved g/4,24881
A* solved g(n)=0,24925
Breadth solved,26943
A* solved,56250
A* solved g(n)=0,28772
A* solved g/2,28748
Breadth solved,26456
Depth solved,27988
A* solved g/4,28789
A* solved g/4,36463
Breadth solved,19281
A* solved g(n)=0,31323
A* solved g/2,31314
Depth solved,25589
A* solved,32874
A* solved g/4,34292
A* solved g/2,29067
A* solved,31055
A* solved g(n)=0,29003
Breadth solved,16377
Depth solved,46076
A* solved g(n)=0,59523
Breadth solved,27902
A* solved g/2,54308
A* solved,54726
Depth solved,15486
A* solved g/4,54310
Depth solved,28565
A* solved,51534
A* solved g/2,49182
A* solved g(n)=0,49284
Breadth solved,26880
A* solved g/4,49154
A* solved g/2,57858
A* solved,46540
A* solved g(n)=0,52331
A* solved g/4,52420
Depth solved,7643
Breadth solved,25582
Depth solved,16768
A* solved g(n)=0,22485
Breadth solved,17741
A* solved g/4,22400
A* solved g/2,22533
A* solved,32976
A* solved g(n)=0,55595
A* solved g/2,50061
A* solved,53678
A* solved g/4,49949
Breadth solved,27520
Depth solved,19187
A* solved g/4,56226
Depth solved,18433
A* solved,50984
A* solved g/2,50950
A* solved g(n)=0,50750
Breadth solved,25867
A* solved,49205
A* solved g(n)=0,40680
Depth solved,23702
Breadth solved,22577
A* solved g/4,40811
A* solved g/2,40631
Depth solved,42055
A* solved g/2,28346
A* solved g(n)=0,28210
A* solved g/4,28333
Breadth solved,25261
A* solved,46234
A* solved g/2,30111
Breadth solved,18304
A* solved g(n)=0,24975
A* solved,35304
Depth solved,26989
A* solved g/4,25001
A* solved g/2,32946
A* solved g(n)=0,27751
A* solved,37312
Breadth solved,19334
A* solved g/4,27732
Depth solved,8652
A* solved g(n)=0,57395
A* solved,45855
Breadth solved,26594
